time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20171026T153328,55.35,400,400,55.37,300,300
20171026T153329,55.37,400,400,55.38,100,100
20171026T153330,55.36,200,200,55.38,300,300
20171026T153330,55.36,400,400,55.38,300,300
20171026T153331,55.36,400,400,55.39,300,300
20171026T153333,55.36,400,400,55.38,100,100
20171026T153334,55.37,300,300,55.4,300,300
20171026T153337,55.37,600,600,55.4,400,400
20171026T153339,55.35,300,300,55.39,500,500
20171026T153340,55.35,600,600,55.39,1300,1300
20171026T153352,55.35,600,600,55.37,300,300
20171026T153353,55.37,100,100,55.38,600,600
20171026T153354,55.36,500,500,55.38,400,400
20171026T153355,55.33,200,200,55.36,400,400
20171026T153357,55.33,600,600,55.36,600,600
20171026T153358,55.33,600,600,55.36,500,500
20171026T153400,55.33,700,700,55.36,200,200
20171026T153400,55.35,100,100,55.35,200,200
20171026T153401,55.35,300,300,55.36,400,400
20171026T153402,55.35,200,200,55.36,400,400
20171026T153404,55.35,200,200,55.36,600,600
20171026T153407,55.33,500,500,55.35,300,300
20171026T153409,55.33,500,500,55.35,400,400
20171026T153410,55.31,200,200,55.33,600,600
20171026T153411,55.34,100,100,55.35,200,200
20171026T153411,55.34,300,300,55.35,100,100
20171026T153412,55.34,300,300,55.35,1200,1200
20171026T153414,55.33,200,200,55.35,1200,1200
20171026T153415,55.33,400,400,55.34,100,100
20171026T153416,55.33,300,300,55.34,400,400
20171026T153417,55.33,300,300,55.34,1300,1300
20171026T153419,55.35,100,100,55.36,200,200
20171026T153420,55.36,400,400,55.37,100,100
20171026T153421,55.37,300,300,55.39,1000,1000
20171026T153423,55.37,400,400,55.39,700,700
20171026T153424,55.37,300,300,55.39,900,900
20171026T153427,55.34,400,400,55.36,100,100
20171026T153429,55.34,200,200,55.36,200,200
20171026T153430,55.32,100,100,55.34,400,400
20171026T153431,55.32,300,300,55.34,400,400
20171026T153432,55.3,400,400,55.31,300,300
20171026T153432,55.29,300,300,55.32,700,700
20171026T153434,55.29,400,400,55.32,800,800
20171026T153435,55.29,400,400,55.32,900,900
20171026T153437,55.3,300,300,55.32,1100,1100
20171026T153438,55.29,300,300,55.3,100,100
20171026T153439,55.29,100,100,55.3,100,100
20171026T153441,55.28,500,500,55.3,100,100
20171026T153442,55.28,400,400,55.3,500,500
20171026T153445,55.28,100,100,55.3,500,500
20171026T153446,55.26,400,400,55.28,700,700
20171026T153447,55.25,500,500,55.27,300,300
20171026T153449,55.24,400,400,55.26,400,400
20171026T153450,55.24,400,400,55.26,300,300
20171026T153452,55.22,500,500,55.24,700,700
20171026T153453,55.21,100,100,55.23,700,700
20171026T153455,55.21,400,400,55.23,600,600
20171026T153456,55.22,200,200,55.22,500,500
20171026T153457,55.21,200,200,55.22,700,700
20171026T153458,55.17,400,400,55.2,600,600
20171026T153459,55.16,300,300,55.19,500,500
20171026T153500,55.17,200,200,55.2,1200,1200
20171026T153501,55.17,400,400,55.2,1200,1200
20171026T153502,55.17,300,300,55.19,200,200
20171026T153504,55.18,500,500,55.2,700,700
20171026T153505,55.18,300,300,55.2,1000,1000
20171026T153506,55.18,300,300,55.2,1300,1300
20171026T153508,55.18,600,600,55.19,100,100
20171026T153509,55.17,300,300,55.19,300,300
20171026T153510,55.17,300,300,55.18,400,400
20171026T153512,55.17,300,300,55.18,800,800
20171026T153512,55.16,100,100,55.17,300,300
20171026T153513,55.15,100,100,55.16,500,500
20171026T153514,55.14,900,900,55.16,600,600
20171026T153516,55.14,500,500,55.15,300,300
20171026T153517,55.19,200,200,55.2,900,900
20171026T153518,55.19,200,200,55.2,800,800
20171026T153519,55.22,200,200,55.23,400,400
20171026T153519,55.23,200,200,55.25,200,200
20171026T153520,55.22,500,500,55.23,100,100
20171026T153521,55.22,500,500,55.24,200,200
20171026T153522,55.22,100,100,55.23,100,100
20171026T153524,55.24,100,100,55.25,300,300
20171026T153524,55.23,200,200,55.25,300,300
20171026T153525,55.23,200,200,55.25,100,100
20171026T153527,55.23,300,300,55.25,200,200
20171026T153528,55.21,500,500,55.23,500,500
20171026T153528,55.21,400,400,55.23,600,600
20171026T153529,55.21,2200,2200,55.23,700,700
20171026T153530,55.21,2000,2000,55.23,200,200
20171026T153531,55.21,2200,2200,55.23,400,400
20171026T153533,55.21,2100,2100,55.23,600,600
20171026T153535,55.22,100,100,55.24,500,500
20171026T153536,55.22,300,300,55.24,500,500
20171026T153537,55.25,100,100,55.26,600,600
20171026T153538,55.24,600,600,55.26,300,300
20171026T153539,55.26,500,500,55.27,100,100
20171026T153539,55.26,200,200,55.27,100,100
20171026T153540,55.24,400,400,55.27,400,400
20171026T153541,55.24,200,200,55.26,200,200
20171026T153543,55.24,200,200,55.26,100,100
20171026T153545,55.23,100,100,55.26,600,600
20171026T153546,55.23,100,100,55.25,200,200
20171026T153548,55.23,100,100,55.25,800,800
20171026T153549,55.23,100,100,55.25,900,900
20171026T153552,55.24,100,100,55.26,900,900
20171026T153554,55.24,400,400,55.26,700,700
20171026T153556,55.24,700,700,55.26,700,700
20171026T153557,55.24,700,700,55.26,600,600
20171026T153558,55.24,700,700,55.26,800,800
20171026T153600,55.24,700,700,55.26,700,700
20171026T153603,55.24,700,700,55.25,100,100
20171026T153605,55.24,200,200,55.25,300,300
20171026T153606,55.23,400,400,55.25,500,500
20171026T153606,55.26,1000,1000,55.27,400,400
20171026T153607,55.26,100,100,55.27,100,100
20171026T153609,55.26,100,100,55.27,200,200
20171026T153610,55.25,200,200,55.26,400,400
20171026T153610,55.24,500,500,55.26,500,500
20171026T153611,55.24,500,500,55.26,600,600
20171026T153612,55.21,600,600,55.23,400,400
20171026T153613,55.2,200,200,55.23,500,500
20171026T153615,55.2,500,500,55.22,300,300
20171026T153616,55.18,200,200,55.2,300,300
20171026T153617,55.18,500,500,55.2,300,300
20171026T153619,55.18,400,400,55.2,500,500
20171026T153620,55.18,400,400,55.19,400,400
20171026T153622,55.18,400,400,55.19,500,500
20171026T153624,55.15,500,500,55.17,500,500
20171026T153625,55.15,100,100,55.17,400,400
20171026T153626,55.15,100,100,55.17,600,600
20171026T153627,55.14,200,200,55.15,400,400
20171026T153630,55.14,100,100,55.15,300,300
20171026T153631,55.14,400,400,55.16,2500,2500
20171026T153636,55.14,200,200,55.15,300,300
20171026T153637,55.15,100,100,55.16,2500,2500
