日期,新建商品住宅销售价格指数(上月=100),城市,类别123,类别0123,date,销售价格变动,hp
2006年11月,102.0,泉州,2,2,2006-11-01,0.020000000000000018,1.06994666393143
2006年10月,100.6,泉州,2,2,2006-10-01,0.006000000000000005,1.0489673175798333
2006年9月,99.8,泉州,2,2,2006-09-01,-0.0020000000000000018,1.0427110512722002
2006年8月,101.2,泉州,2,2,2006-08-01,0.01200000000000001,1.044800652577355
2006年7月,100.9,泉州,2,2,2006-07-01,0.009000000000000119,1.0324117120329594
2006年6月,100.2,泉州,2,2,2006-06-01,0.0020000000000000018,1.0232028860584335
2006年5月,100.9,泉州,2,2,2006-05-01,0.009000000000000119,1.0211605649285762
2006年4月,100.2,泉州,2,2,2006-04-01,0.0020000000000000018,1.012052096064
2006年3月,100.2,泉州,2,2,2006-03-01,0.0020000000000000018,1.010032032
2006年2月,100.4,泉州,2,2,2006-02-01,0.0040000000000000036,1.008016
2006年1月,100.4,泉州,2,2,2006-01-01,0.0040000000000000036,1.004
2019年9月,99.8,泸州,3,3,2019-09-01,-0.0020000000000000018,1.6235169316981577
2019年8月,99.5,泸州,3,3,2019-08-01,-0.0050000000000000044,1.6267704726434447
2019年7月,100.0,泸州,3,3,2019-07-01,0.0,1.634945198636628
2019年6月,99.8,泸州,3,3,2019-06-01,-0.0020000000000000018,1.634945198636628
2019年5月,100.1,泸州,3,3,2019-05-01,0.0009999999999998899,1.638221641920469
2019年4月,100.2,泸州,3,3,2019-04-01,0.0020000000000000018,1.6365850568636056
2019年3月,100.2,泸州,3,3,2019-03-01,0.0020000000000000018,1.6333184200235584
2019年2月,100.4,泸州,3,3,2019-02-01,0.0040000000000000036,1.6300583034167249
2019年1月,100.9,泸州,3,3,2019-01-01,0.009000000000000119,1.6235640472278137
2018年12月,100.2,泸州,3,3,2018-12-01,0.0020000000000000018,1.6090823064695872
2018年11月,100.5,泸州,3,3,2018-11-01,0.004999999999999893,1.6058705653389094
2018年10月,101.6,泸州,3,3,2018-10-01,0.016000000000000014,1.5978811595412035
2018年9月,102.6,泸州,3,3,2018-09-01,0.026000000000000023,1.572717676713783
2018年8月,101.8,泸州,3,3,2018-08-01,0.018000000000000016,1.5328632326645057
2018年7月,100.5,泸州,3,3,2018-07-01,0.004999999999999893,1.5057595605741707
2018年6月,101.3,泸州,3,3,2018-06-01,0.0129999999999999,1.498268219476787
2018年5月,100.7,泸州,3,3,2018-05-01,0.007000000000000117,1.4790406905002833
2018年4月,100.4,泸州,3,3,2018-04-01,0.0040000000000000036,1.46875937487615
2018年3月,100.3,泸州,3,3,2018-03-01,0.0029999999999998916,1.4629077439005478
2018年2月,100.4,泸州,3,3,2018-02-01,0.0040000000000000036,1.4585321474581734
2018年1月,100.8,泸州,3,3,2018-01-01,0.008000000000000007,1.4527212624085393
2017年12月,102.0,泸州,3,3,2017-12-01,0.020000000000000018,1.4411917285799
2017年11月,100.8,泸州,3,3,2017-11-01,0.008000000000000007,1.412933067235196
